,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes,longitude,latitude
1445,D,B,3.0,2017-05-01,2018-04-30,2017,200.0,0836,Renewed,EVAN,DVORKIN,PSA BREWERY,"PSA BREWERY, LLC",Brewery,7 days,Beer,4216 SHANNON DRIVE,21213,150.0,52.0,26956.0,39.314528, -76.553661
11619,WD,BW,5.0,2017-05-01,2018-04-30,2017,165.0,0694,Renewed,TSGAKRSTOS,DAFLA,AVENUE GROCERY BEER & WINE,"AVENUE GROCERY BEER & WINE, LLC",Tavern License,7 days,Beer & Light Wine,2327 PENNSYLVANIA AVENUE,21217,22.0,221.0,27301.0,39.309086, -76.641356
11683,LB,BWL,179.0,2017-05-01,2018-04-30,2017,2000.0,0369,Renewed,AMY,GJERDE,WOODBERRY KITCHEN,"WATERSHED, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",2010 CLIPPER PARK ROAD,21211,23.0,262.0,14006.0,39.331867, -76.644314
11904,LB,BWL,234.0,2017-05-01,2018-04-30,2017,1320.0,0603,Renewed,SHIGEHIKO ,OKIEBISU,KIPPO RAMEN,"KIPPO RAMEN, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",606 BROADWAY SOUTH,21231,286.0,68.0,27954.0,39.284216, -76.593517
12068,WD,BW,19.0,2017-05-01,2018-04-30,2017,165.0,0852,Renewed,TUSSNEE,SINGPARU,KIKU SUSHI,MI HEE CORPORATION,Tavern License,7 days,Beer & Light Wine,1017 LIGHT STREET,21230,165.0,67.0,27953.0,39.277829, -76.612479
17535,LB,BWL,155.0,2017-05-01,2018-04-30,2017,2020.0,0181,Renewed,CHARLES ,GJERDE ,WICKED SISTERS,"WICKED SISTERS, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",3845 FALLS RD,21211,20.0,102.0,14006.0,39.334982, -76.636192
17540,LBD7,BWL,25.0,2017-05-01,2018-04-30,2017,1320.0,0223,Renewed,MICHAEL ,SABRACOS,O'HARA'S IRISH PUB,"CITY LINE FOOD, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6506-10 BELAIR ROAD,21206,226.0,39.0,13991.0,39.35364, -76.531944
17543,LB,BWL,123.0,2017-05-01,2018-04-30,2017,2320.0,0141,Renewed,YU MEI,LEE,UNCLE LEE'S,"UNCLE LEE'S AT THE HARBOR, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",44 SOUTH STREET,21202,6.0,65.0,13645.0,39.288048, -76.610847
17547,LB,BWL,6.0,2017-05-01,2018-04-30,2017,2500.0,0011,Renewed,PATRICK,MORROW,RYLEIGH'S OYSTER,"CATHEDRAL-PRESTON, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",1225 CATHEDRAL STREET,21201,95.0,151.0,13642.0,39.30414, -76.618583
17548,LBD7,BWL,99.0,2017-05-01,2018-04-30,2017,1320.0,0302,Renewed,ROBERT,OURSLER,SPRINGHILL SUITES,"PALMETTO HOSPITALITY OF BALTIMORE I, LLC",Tavern,7 days,"Beer, Wine, & Liquor",16 CALVERT STREET SOUTH,21202,6.0,65.0,13645.0,39.289067, -76.612257
17551,LB,BWL,167.0,2017-05-01,2018-04-30,2017,1520.0,0265,Renewed,DAVID ,KEY ,BOZ'S BURGERS,"BOZ'S BURGERS,LLC",Restaurant,7 days,"Beer, Wine, & Liquor",3101 ST. PAUL STREET,21218,35.0,277.0,27307.0,39.325956, -76.615832
