,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
652196,3564866,2650643,Medium,SW,COMMON ASSAULT,P171880194,800 KEVIN RD,39.296471999999994,-76.687211,2017-07-07
28281,138979,2816435,Medium,ND,COMMON ASSAULT,P172461673,4800 YELLOWWOOD AV,39.347087,-76.658114,2017-09-03
107839,497830,3194223,Medium,WD,COMMON ASSAULT,P180281922,1600 LORMAN CT,39.303942,-76.64323399999999,2018-01-28
522622,2990218,3028589,Medium,NW,COMMON ASSAULT,P173251556,6300 GREENSPRING AV,39.369601,-76.681333,2017-11-21
351978,1817857,3292011,Medium,CD,COMMON ASSAULT,P180680718,200 W FAYETTE ST,39.290487,-76.618155,2018-03-09
440755,2053607,3408313,Medium,ND,COMMON ASSAULT,P181132883,900 CATOR AV,39.339135999999996,-76.60340500000001,2018-04-23
531394,3078543,2550073,Medium,NE,COMMON ASSAULT,P171542670,2400 GAINSBOROUGH CT,39.369828000000005,-76.562791,2017-06-03
325319,1767011,3272242,Medium,WD,COMMON ASSAULT,P180600254,900 W LEXINGTON ST,39.291035,-76.632283,2018-03-01
618511,3389466,2997649,Medium,SW,COMMON ASSAULT,P173130574,200 S AUGUSTA AV,39.283282,-76.684673,2017-11-09
338198,1791505,3245916,Medium,ND,COMMON ASSAULT,P180492090,1400 UNION AV,39.332664,-76.638416,2018-02-18
523216,2990819,3054477,Medium,NE,COMMON ASSAULT,P173360861,3900 EIERMAN AV,39.330498999999996,-76.566727,2017-12-02
630465,3471553,2639104,Medium,WD,COMMON ASSAULT,P171841155,1100 N CARROLLTON AV,39.301332,-76.637414,2017-07-03
14748,57686,3001556,Medium,ND,COMMON ASSAULT,P173141924,1400 WELDON PL N,39.337309000000005,-76.641664,2017-11-10
62158,347326,2465302,Medium,WD,COMMON ASSAULT,P171252735,1500 BLK W FAYETTE ST,39.289601,-76.641722,2017-05-05
577859,3272192,2576451,High,NE,AGGRAV ASSAULT,P171631654,1100 HEWITT WY,39.305406,-76.54736,2017-06-12
615801,3386751,2941805,High,NE,AGGRAV ASSAULT,P172920966,2800 LAKE AV,39.323894,-76.574004,2017-10-19
641942,3483060,3043320,High,ED,AGGRAV ASSAULT,P173312707,300 E LANVALE ST,39.308901,-76.612024,2017-11-27
433634,2029458,3399025,Medium,WD,COMMON ASSAULT,P181101650,2400 WINCHESTER ST,39.301589,-76.656323,2018-04-20
642758,3483877,3063381,Medium,NE,COMMON ASSAULT,P173392653,3200 EVERGREEN AV,39.351515,-76.557643,2017-12-05
612435,3383347,2839154,Medium,SW,COMMON ASSAULT,P172550478,100 N HILTON ST,39.287075,-76.67236,2017-09-12
3702,43288,2613299,Medium,NE,COMMON ASSAULT,P171751960,5600 MCCLEAN BL,39.357261,-76.56912,2017-06-24
700640,3740831,2851801,Medium,ND,COMMON ASSAULT,P172592267,1100 E NORTHERN PY,39.366208,-76.597877,2017-09-16
282220,1597574,2511152,Medium,ND,COMMON ASSAULT,P171411902,2000 ROCKROSE AV,39.334415,-76.646884,2017-05-21
