,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
18,22316,2905088,Low,SD,AUTO ACCIDENT,P172783027,500 WASHBURN AV,39.234508,-76.60428,2017-10-05
35,37322,2461946,Low,NW,HIT AND RUN,P171242185,2900 WYNHAM RD,39.319507,-76.6937,2017-05-04
38,37381,2461366,Low,SE,AUTO ACCIDENT,P171241503,400 CORNWALL ST,39.288872999999995,-76.544785,2017-05-04
49,37502,2455357,High,NE,AUTO ACC/INJURY,P171221696,4300 BERGER AV,39.339553,-76.546932,2017-05-02
61,37709,2458903,High,SE,AUTO ACC/INJURY,P171232102,300 BLK S PONCA ST,39.287545,-76.55499,2017-05-03
127,38327,2464556,High,SW,AUTO ACC/INJURY,P171251866,2100 N HILTON ST,39.311399,-76.67249,2017-05-05
157,38372,2459427,Low,ND,AUTO ACCIDENT,P171232702,2500 W COLD SPRING LN,39.340682,-76.661703,2017-05-03
160,38378,2470669,High,ND,AUTO ACC/INJURY,P171272284,NB I 100 N AT W 28TH ST,39.321846,-76.618646,2017-05-07
168,38390,2464935,High,SW,AUTO ACC/INJURY,P171252327,200 N HILTON ST,39.288781,-76.672436,2017-05-05
172,38395,2482954,Low,WD,HIT AND RUN,P171320777,1500 MORELAND AV,39.304789,-76.655664,2017-05-12
195,38428,2469051,Low,SD,AUTO ACCIDENT,P171270459,1200 E PATAPSCO AV,39.233315000000005,-76.59262,2017-05-07
202,38440,2463949,Low,ND,AUTO ACCIDENT,P171251171,NB I 100 N/W COLD SPRING LN,39.345103,-76.62550300000001,2017-05-05
209,38447,2464505,Low,ND,AUTO ACCIDENT,P171251811,3900 FALLS RD,39.335334,-76.636282,2017-05-05
222,38466,2470309,Low,NE,AUTO ACCIDENT,P171271888,3700 ERDMAN AV,39.316262,-76.56914599999999,2017-05-07
237,38490,2461960,Low,NW,AUTO ACCIDENT,P171242197,REISTERSTOWN PLAZA,39.456413,-76.816576,2017-05-04
272,38540,2469101,Low,SE,HIT AND RUN,P171270516,1600 BLK E BALTIMORE ST,39.291470000000004,-76.59575799999999,2017-05-07
324,38618,2467889,Low,SE,AUTO ACCIDENT,P171262288,400 S WASHINGTON ST,39.28668,-76.588859,2017-05-06
378,38699,2474555,Low,NE,HIT AND RUN,P171290669,5500 BELAIR RD,39.339746999999996,-76.549226,2017-05-09
381,38703,2472333,Low,SD,AUTO ACCIDENT,P171281450,4400 FAIRHAVEN AV,39.225871999999995,-76.590023,2017-05-08
390,38718,2473627,Low,CD,HIT AND RUN,P171282900,300 W LOMBARD ST,39.287561,-76.619879,2017-05-08
396,38727,2463681,Low,SE,AUTO ACCIDENT,P171250847,1600 EASTERN AV,39.285517,-76.595067,2017-05-05
410,38746,2482833,Low,NE,HIT AND RUN,P171320637,4500 MANNASOTA AV,39.328657,-76.558994,2017-05-12
411,38747,2470967,Low,ED,HIT AND RUN,P171272613,2200 BARCLAY ST,39.314455,-76.611135,2017-05-07
422,38770,2470598,Low,NE,HIT AND RUN,P171272207,3200 BLK WISTERIA AV,39.350660999999995,-76.558134,2017-05-07
431,38782,2466859,Low,ND,AUTO ACCIDENT,P171261156,3300 BLK GREENMOUNT AV,39.328593,-76.609429,2017-05-06
434,38786,2474045,Low,ND,HIT AND RUN,P171290065,300 W 30TH ST,39.323211,-76.622659,2017-05-09
447,38810,2467440,High,ND,AUTO ACC/INJURY,P171261787,NB I 100 N AT W COLD SPRING LN,39.345103,-76.62550300000001,2017-05-06
460,38828,2473692,Low,SW,HIT AND RUN,P171282964,3700 BLK FLOWERTON RD,39.298737,-76.678924,2017-05-08
464,38833,2467613,Low,CD,AUTO ACCIDENT,P171261972,NB I 100 N/N HOWARD ST,39.290597,-76.619519,2017-05-06
466,38835,2480613,Low,CD,AUTO ACCIDENT,P171311103,SB I 100 S/E PLEASANT ST,39.2936,-76.61330600000001,2017-05-11
494,38889,2473676,Low,SW,HIT AND RUN,P171282947,300 S SMALLWOOD ST,39.283972,-76.651239,2017-05-08
500,38898,2467551,Low,NW,HIT AND RUN,P171261908,4000 LIBERTY HEIGHTS AV,39.328231,-76.685497,2017-05-06
504,38903,2455846,Low,CD,AUTO ACCIDENT,P171222261,200 W CHASE ST,39.301956,-76.619024,2017-05-02
509,38908,2470143,Medium,NE,HIT AND RUN,P171271706,2300 E NORTHERN PY,39.368559000000005,-76.567428,2017-05-07
549,38966,2469954,Low,NE,AUTO ACCIDENT,P171271492,4400 HARFORD RD,39.339818,-76.572567,2017-05-07
558,38978,2472600,High,WD,AUTO ACC/INJURY,P171281742,2400 BLK W FRANKLIN ST,39.293515,-76.65486,2017-05-08
565,38993,2461166,Low,SE,AUTO ACCIDENT,P171241262,2600 BROENING HY,39.259017,-76.53791700000001,2017-05-04
569,38999,2464437,Low,SE,AUTO ACCIDENT,P171251735,6700 DANVILLE AV,39.276245,-76.531889,2017-05-05
581,39017,2473411,Low,WD,HIT AND RUN,P171282663,600 N DUKELAND ST,39.294901,-76.662998,2017-05-08
582,39019,2480921,Low,ND,HIT AND RUN,P171311483,200 E UNIVERSITY PY,39.330694,-76.61491600000001,2017-05-11
623,39090,2472462,Low,NE,HIT AND RUN,P171281598,1500 STONEWOOD RD,39.349340999999995,-76.59062,2017-05-08
664,39155,2468396,High,NE,AUTO ACC/INJURY,P171262853,6400 BLK FRANKFORD AV,39.316065,-76.539388,2017-05-06
700,39221,2474198,High,CD,AUTO ACC/INJURY,P171290249,NB I 100 N/GUILFORD AV,39.290828000000005,-76.611069,2017-05-09
