,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
185044,1146553,2584311,Medium,SW,UNFOUNDED,P171660198,1000 BLK N ELLAMONT ST,39.300471,-76.669957,2017-06-15
333386,1777819,3259554,Medium,SD,FAMILY DISTURB,P180550352,4100 CURTIS AV,39.228359000000005,-76.587099,2018-02-24
572331,3190032,3151317,Medium,SW,911/NO  VOICE,P180121429,1400 BRADDISH AV,39.303940999999995,-76.66084000000001,2018-01-12
243804,1530369,2948479,Non-Emergency,SE,Business Check,P172942181,3600 BOSTON ST,39.277229,-76.56612,2017-10-21
733601,3836676,3124773,Medium,WD,NARCOTICSOutside,P180011033,700 BAKER ST,39.307577,-76.641281,2018-01-01
329695,1772918,3273180,High,NW,SILENT ALARM,P180601375,2900 DRUID PARK DR,39.323377,-76.661559,2018-03-01
90648,474581,2579225,Low,SE,AUTO ACCIDENT,P171641552,900 E PRATT ST,39.287890999999995,-76.601629,2017-06-13
62511,347785,2460097,Low,WD,DESTRUCT PROP,P171233466,1200 N WOODYEAR ST,39.302605,-76.639605,2017-05-03
653202,3565874,2655344,Low,NE,PRKG COMPLAINT,P171892227,4900 BELAIR RD,39.334461,-76.55681700000001,2017-07-08
44140,233809,2628340,Medium,SE,911/NO  VOICE,P171802359,6200 E LOMBARD ST,39.296208,-76.537235,2017-06-29
327463,1770063,3280267,Low,NE,INVESTIGATE,P180630570,1800 LYDONLEA WY,39.360876,-76.579031,2018-03-04
433637,2029461,3399021,Medium,SE,BY THREAT,P181101644,6200 EASTERN AV,39.287627,-76.542675,2018-04-20
221823,1501741,2746565,Non-Emergency,CD,RECOVER PROPERTY,P172211919,1500 BLK EUTAW PL,39.305448,-76.628253,2017-08-09
432228,2025067,3397237,Non-Emergency,ND,56,P181092689,4400 WRENWOOD AV,39.342236,-76.60634499999999,2018-04-19
458208,2622548,3046984,High,WD,ROBBERY UNARMED,P173330935,1600 W NORTH AV,39.310039,-76.643415,2017-11-29
229807,1512190,2829357,High,SD,Traffic Stop,P172511838,4200 AUDREY AV,39.22959,-76.605082,2017-09-08
92040,476410,2611377,Low,NE,HIT AND RUN,P171743362,6000 MORAVIA RD,39.315583000000004,-76.544411,2017-06-23
