,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
1061,39743,2496123,Low,ND,INTOXICATED PERS,P171362929,800 BLK ST DUNSTANS RD,39.360652,-76.603325,2017-05-16
1475,40287,2514681,Low,CD,INTOXICATED PERS,P171422926,200 BLK E PRESTON ST,39.304617,-76.613036,2017-05-22
4152,43863,2624315,Medium,ND,INTOXICATED PERS,P171791369,5700 FALLS RD,39.36466,-76.647363,2017-06-28
5559,45695,2672125,Low,ND,INTOXICATED PERS,P171951773,2500 W BELVEDERE AV,39.352908,-76.666818,2017-07-14
7611,48351,2769854,Low,CD,INTOXICATED PERS,P172292858,800 PARK AV,39.298487,-76.61845500000001,2017-08-17
10046,51514,2852910,Low,SE,INTOXICATED PERS,P172600298,500 N LUZERNE AV,39.296913,-76.580737,2017-09-17
10874,52603,2860352,Low,SD,INTOXICATED PERS,P172622843,1000 BLK W PRATT ST,39.285726000000004,-76.633872,2017-09-19
11252,53104,2905595,Low,SD,INTOXICATED PERS,P172790239,1500 RUSSELL ST,39.274281,-76.627721,2017-10-06
11966,54064,2925088,Low,NW,INTOXICATED PERS,P172860308,5600 KEY AV,39.356118,-76.67689,2017-10-13
12057,54187,2922030,Low,SW,INTOXICATED PERS,P172842735,3700 W SARATOGA ST,39.290706,-76.67871,2017-10-11
12937,55340,2957027,Low,ED,INTOXICATED PERS,P172973124,2200 BLK HARFORD RD,39.315177,-76.596965,2017-10-24
13409,55932,2988335,Low,ED,INTOXICATED PERS,P173091284,1000 N KENWOOD AV,39.302752000000005,-76.578296,2017-11-05
13668,56266,2978524,Medium,SE,INTOXICATED PERS,P173052727,HOME DEPOT,39.499699,-76.641403,2017-11-01
14422,57266,3012272,Low,NE,INTOXICATED PERS,P173190221,4900 HARFORD RD,39.345504999999996,-76.567194,2017-11-15
14486,57346,3021081,Low,NE,INTOXICATED PERS,P173221085,1000 HIGNET WY,39.304229,-76.546172,2017-11-18
15065,58100,3032611,Low,SE,INTOXICATED PERS,P173270190,6500 HOLABIRD AV,39.272387,-76.535551,2017-11-23
15768,59023,3063420,Low,CD,INTOXICATED PERS,P173392694,2400 MADISON AV,39.312554,-76.637784,2017-12-05
16096,59468,3053435,Low,ND,INTOXICATED PERS,P173352701,6300 YORK RD,39.371012,-76.609799,2017-12-01
16459,59971,3045739,Medium,SE,INTOXICATED PERS,P173322450,3600 BOSTON ST,39.277229,-76.56612,2017-11-28
16656,60240,3092504,Low,SE,INTOXICATED PERS,P173521109,5900 EASTERN AV,39.287511,-76.54516,2017-12-18
16929,60643,3074386,Low,SD,INTOXICATED PERS,P173441115,1300 BLK W OSTEND ST,39.281940000000006,-76.634271,2017-12-10
