,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
579471,3273811,2648521,Medium,WD,NARCOTICSOutside,P171871156,1300 BLK WHATCOAT ST,39.303715000000004,-76.641137,2017-07-06
322198,1759260,3251644,Medium,SE,NARCOTICSOutside,P180520383,400-408 S REGESTER ST,39.286823999999996,-76.59236700000001,2018-02-21
438299,2044255,3405113,Medium,NW,NARCOTICSOutside,P181122105,3200 SPAULDING AV,39.347842,-76.675517,2018-04-22
701660,3741855,2862996,Medium,SW,NARCOTICS INSIDE,P172632735,4600 EDMONDSON AV,39.293406,-76.693881,2017-09-20
216657,1494676,2696232,Medium,CD,NARCOTICS INSIDE,P172032571,300 N EUTAW ST,39.293031,-76.621163,2017-07-22
127732,611637,3186645,Medium,WD,NARCOTICSOutside,P180252837,1500 TRACTION ST,39.311005,-76.642471,2018-01-25
412854,1971311,3388404,Medium,SD,NARCOTICS INSIDE,P181061523,1600 CEDDOX ST,39.221148,-76.588066,2018-04-16
664177,3576893,3035149,Medium,NW,NARCOTICSOutside,P173280982,6500 REISTERSTOWN RD,39.356513,-76.702964,2017-11-24
350150,1812716,3302671,Medium,WD,NARCOTICSOutside,P180721644,1000 BLK W SARATOGA ST,39.292442,-76.63417199999999,2018-03-13
185223,1147730,2611395,Medium,SD,NARCOTICSOutside,P171743363,400 S PAYSON ST,39.282792,-76.64836,2017-06-23
500434,2899305,3000744,Medium,NE,NARCOTICSOutside,P173141006,2600 POLK ST,39.319864,-76.595345,2017-11-10
622672,3393636,3138645,Medium,WD,NARCOTICSOutside,P180070940,1400 BLK PRESSTMAN ST,39.305482,-76.640793,2018-01-07
297144,1682817,3217690,Medium,SE,NARCOTICSOutside,P180372884,6400 O DONNELL ST,39.281621,-76.538196,2018-02-06
117636,598543,2776999,Medium,SD,NARCOTICSOutside,P172321216,1500 PLUM ST,39.228253,-76.590252,2017-08-20
615591,3386537,2932916,Medium,WD,NARCOTICS INSIDE,P172882732,1600 N SMALLWOOD ST,39.306561,-76.652511,2017-10-15
697121,3737299,2717729,Medium,ED,NARCOTICSOutside,P172111134,2600 E MONUMENT ST,39.2989,-76.580712,2017-07-30
723828,3826785,2861156,Medium,WD,NARCOTICSOutside,P172630625,2000 W BALTIMORE ST,39.288027,-76.64863299999999,2017-09-20
659047,3571738,2889736,Medium,NW,NARCOTICS INSIDE,P172730845,3800 W BELVEDERE AV,39.344787,-76.68186800000001,2017-09-30
314479,1722708,3240439,Medium,SW,NARCOTICS INSIDE,P180471721,3300 CLIFTON AV,39.311048,-76.672608,2018-02-16
354040,1823034,3297945,Medium,SD,NARCOTICSOutside,P180701661,1300 SARGEANT ST,39.280776,-76.63611,2018-03-11
19184,63623,3164773,Medium,SE,NARCOTICSOutside,P180172358,200 S BROADWAY,39.289063,-76.593795,2018-01-17
174799,889788,2788154,Medium,SD,NARCOTICSOutside,P172360982,1000 W LOMBARD ST,39.286752,-76.633785,2017-08-24
139339,707673,2805634,Medium,NW,NARCOTICSOutside,P172422020,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-08-30
388742,1909395,3340672,Medium,SW,NARCOTICSOutside,P180882154,2700 WILKENS AV,39.278036,-76.658804,2018-03-29
334951,1780272,3246556,Medium,WD,NARCOTICSOutside,P180500444,900 N MONROE ST,39.299101,-76.647544,2018-02-19
529280,3076422,2499744,Medium,SW,NARCOTICSOutside,P171373443,2700 WILKENS AV,39.27802,-76.658845,2017-05-17
146989,717578,3088857,Medium,SW,NARCOTICSOutside,P173502854,2700 WILKENS AV,39.27802,-76.658845,2017-12-16
668190,3580921,3172250,Medium,WD,NARCOTICSOutside,P180201912,900 N MONROE ST,39.299101,-76.647544,2018-01-20
554173,3171817,2571810,Medium,NW,NARCOTICSOutside,P171612913,4700 LIBERTY HEIGHTS AV,39.331412,-76.695828,2017-06-10
62612,347930,2483143,Medium,ND,NARCOTICSOutside,P171321009,1200 WOODBOURNE AV,39.354074,-76.59787800000001,2017-05-12
437565,2041944,3404297,Medium,CD,NARCOTICSOutside,P181121261,1800 PENNSYLVANIA AV,39.3044,-76.635728,2018-04-22
476598,2805925,2923570,Medium,SW,NARCOTICSOutside,P172851418,2700 WILKENS AV,39.27802,-76.658845,2017-10-12
