,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
82,38052,2455285,Low,SD,DESTRUCT PROP,P171221607,600 CHERRY HILL RD,39.250029,-76.622851,2017-05-02
215,38454,2472319,Low,SW,DESTRUCT PROP,P171281418,1400 POPLAR GROVE ST,39.303638,-76.66545,2017-05-08
230,38477,2471606,Low,ED,DESTRUCT PROP,P171280572,1800 BLK N PATTERSON PARK AV,39.310990999999994,-76.585879,2017-05-08
312,38599,2471668,Low,CD,DESTRUCT PROP,P171280655,600 BLK W REDWOOD ST,39.288478999999995,-76.625093,2017-05-08
515,38915,2479270,Low,NW,DESTRUCT PROP,P171302742,3500 LIBERTY HEIGHTS AV,39.324532,-76.672625,2017-05-10
564,38992,2466681,Low,ED,DESTRUCT PROP,P171260969,300 E CHASE ST,39.302532,-76.610935,2017-05-06
628,39095,2459019,Low,NE,DESTRUCT PROP,P171232249,5000 HILLEN RD,39.349287,-76.584242,2017-05-03
670,39165,2459841,Low,SE,DESTRUCT PROP,P171233166,3400 NOBLE ST,39.293054999999995,-76.569004,2017-05-03
687,39202,2466527,Low,SD,DESTRUCT PROP,P171260818,3000 ELIZABETH AV,39.255338,-76.65095699999999,2017-05-06
711,39237,2484244,Low,ND,DESTRUCT PROP,P171322275,2900 GREENMOUNT AV,39.323802,-76.609426,2017-05-12
717,39250,2480212,Low,NE,DESTRUCT PROP,P171310621,3700 MONTEREY RD,39.333299,-76.597376,2017-05-11
718,39251,2466861,Low,CD,DESTRUCT PROP,P171261173,1700 BLK DIVISION ST,39.304442,-76.633658,2017-05-06
731,39271,2482815,Low,ED,DESTRUCT PROP,P171320605,2400 E MONUMENT ST,39.298801,-76.583501,2017-05-12
754,39312,2474526,Low,ND,DESTRUCT PROP,P171290640,3100 ELM AV,39.325399,-76.63119300000001,2017-05-09
759,39319,2469890,Low,ND,DESTRUCT PROP,P171271422,4000 OSWEGO CT,39.335434,-76.660443,2017-05-07
782,39350,2486517,Low,WD,DESTRUCT PROP,P171331527,2000 WALBROOK AV,39.310759000000004,-76.650125,2017-05-13
797,39370,2503228,Low,SD,DESTRUCT PROP,P171390138,2500 BROHAWN AV,39.256554,-76.64765799999999,2017-05-19
829,39411,2492677,Low,SD,DESTRUCT PROP,P171352473,2600 MAISEL ST,39.262723,-76.63788199999999,2017-05-15
871,39475,2509643,Low,SW,DESTRUCT PROP,P171410237,3700 NORTONIA RD,39.308327,-76.680362,2017-05-21
925,39554,2510639,Low,SW,DESTRUCT PROP,P171411351,1100 WICKLOW RD,39.29777,-76.690627,2017-05-21
929,39558,2489943,Low,NE,DESTRUCT PROP,P171342325,1200 LINWORTH AV,39.347165000000004,-76.59844100000001,2017-05-14
1037,39713,2476338,Low,ED,DESTRUCT PROP,P171292695,2300 HARFORD RD,39.315827,-76.59626899999999,2017-05-09
1070,39752,2497572,Low,NW,DESTRUCT PROP,P171370962,6900 PARK HEIGHTS AV,39.365658,-76.703874,2017-05-17
1073,39757,2496383,Low,NW,DESTRUCT PROP,P171363214,5500 WESLEY AV,39.33243,-76.706561,2017-05-16
1084,39770,2488973,Low,CD,DESTRUCT PROP,P171341264,500 ST MARY ST,39.297483,-76.622916,2017-05-14
1200,39920,2492447,Low,NW,DESTRUCT PROP,P171352226,4000 GARRISON BL,39.334438,-76.68382700000001,2017-05-15
1323,40078,2488916,Low,ND,DESTRUCT PROP,P171341200,5100 PALL MALL RD,39.351356,-76.667886,2017-05-14
1334,40097,2505794,Low,WD,DESTRUCT PROP,P171393063,1500 N CAREY ST,39.306877,-76.640406,2017-05-19
1386,40163,2490410,Low,NE,DESTRUCT PROP,P171342833,3200 GLENDALE AV,39.36906,-76.542101,2017-05-14
1433,40228,2537373,Low,TRU,DESTRUCT PROP,P171501989,6500 WESTERN RUN DR,39.365628,-76.692948,2017-05-30
1462,40268,2525417,Low,SW,DESTRUCT PROP,P171461454,3000 NORMOUNT CT,39.302594,-76.668353,2017-05-26
1540,40380,2523623,Medium,SW,DESTRUCT PROP,P171452850,2400 FREDERICK AV,39.284157,-76.65465400000001,2017-05-25
1547,40389,2525403,Low,NE,DESTRUCT PROP,P171461436,2800 HOMEWOOD AV,39.322457,-76.60019399999999,2017-05-26
1550,40392,2517555,Low,SW,DESTRUCT PROP,P171432901,2300 JAMES ST,39.269646,-76.650726,2017-05-23
1570,40420,2529497,Low,ND,DESTRUCT PROP,P171472292,600 E 36TH ST,39.332278,-76.607212,2017-05-27
